audit_speed,audit_length,audit_height,audit_width,audit_gap,audit_headway,audit_occupancy,vehicleClass
79.0,3639,1480,1640,27539,27705,164,4 ล้อ
85.0,12472,3980,2550,4501,4682,525,6 ล้อ
96.0,3496,1480,1490,4999,5129,130,4 ล้อ
61.0,9840,3760,2350,5598,5746,580,6 ล้อ
76.0,8000,2880,2040,9258,9439,212,6 ล้อ
83.0,8831,3700,2510,3463,3644,378,6 ล้อ
87.0,3975,1390,1480,806,985,163,4 ล้อ
93.0,3407,1440,1530,30171,30320,130,4 ล้อ
92.0,5055,2440,1160,11086,11235,196,4 ล้อ
97.0,4422,1770,1650,1288,1436,163,4 ล้อ
77.0,10782,3820,2600,897,1063,503,6 ล้อ
81.0,4014,2700,1670,1148,1313,177,4 ล้อ
71.0,9904,3700,2470,3079,3245,496,6 ล้อ
76.0,9782,3830,2700,6796,6975,462,6 ล้อ
72.0,14970,4430,2500,2418,2599,740,มากกว่า 6 
95.0,4785,1540,1350,197357,197521,181,4 ล้อ
76.0,10558,3930,2610,9191,9372,496,6 ล้อ
81.0,9384,3860,1650,3165,3346,413,6 ล้อ
100.0,4566,1670,1090,6175,6356,164,4 ล้อ
76.0,5976,2710,2230,7124,7272,280,6 ล้อ
26.0,16973,4480,2570,1997,2612,2290,มากกว่า 6 
75.0,10056,3940,2580,14924,15370,479,6 ล้อ
67.0,17015,4150,2600,2746,3281,908,มากกว่า 6 
81.0,3693,1440,1600,633,797,163,4 ล้อ
72.0,15529,4470,2640,3662,3843,774,มากกว่า 6 
91.0,5000,2660,1560,717,896,178,4 ล้อ
65.0,9300,3810,2600,11118,11249,513,6 ล้อ
101.0,4638,1450,1530,753,918,164,4 ล้อ
75.0,9639,3890,1500,10276,10672,459,มากกว่า 6 
92.0,8017,3510,2000,4338,4537,311,6 ล้อ
91.0,4538,2600,1560,2532,2680,178,4 ล้อ
67.0,16042,4510,2530,5497,5661,856,มากกว่า 6 
63.0,8000,3420,1570,8555,8705,344,6 ล้อ
30.0,9846,3740,2510,1786,2318,1151,6 ล้อ
71.0,16418,4470,2490,2335,2533,829,มากกว่า 6 
63.0,15074,4520,2520,5769,5965,857,มากกว่า 6 
71.0,9217,3580,2530,2083,2415,461,6 ล้อ
93.0,4716,1530,1400,1300,1465,180,4 ล้อ
81.0,8877,3960,2380,4311,4492,391,6 ล้อ
61.0,16693,3700,2480,1632,1829,985,มากกว่า 6 
71.0,8887,2620,2350,8762,9176,445,มากกว่า 6 
94.0,4321,1780,1090,5546,5677,164,4 ล้อ
76.0,17727,3570,2570,4781,4895,834,มากกว่า 6 
74.0,17140,4110,2530,18451,18616,829,มากกว่า 6 
89.0,4070,1400,1600,3932,4113,163,4 ล้อ
35.0,17769,4440,2530,4893,5491,1810,มากกว่า 6 
72.0,10050,3730,2590,17264,17395,496,6 ล้อ
98.0,4954,1740,1430,1668,1816,181,4 ล้อ
63.0,6431,3010,2080,6023,6454,364,6 ล้อ
13.0,5200,2030,1930,3779,4744,1881,4 ล้อ
20.0,8000,2260,1900,2031,2580,1315,6 ล้อ
73.0,19505,3830,2680,6676,6858,950,มากกว่า 6 
70.0,5840,2290,2000,1321,1584,296,6 ล้อ
92.0,3354,1420,1420,1467,1616,130,4 ล้อ
87.0,4372,1600,1530,1267,1448,180,4 ล้อ
68.0,10355,3810,2570,1404,1913,545,6 ล้อ
72.0,8199,3560,2430,1783,2181,409,6 ล้อ
66.0,17744,3800,2490,2249,2463,967,มากกว่า 6 
98.0,4420,2550,1390,2128,2295,162,4 ล้อ
66.0,9784,3880,2570,2318,2466,530,6 ล้อ
77.0,7450,2240,2340,2705,3539,345,6 ล้อ
109.0,5200,1630,1630,1116,1297,181,4 ล้อ
71.0,10012,3700,2090,2331,2610,501,6 ล้อ
50.0,17916,4190,2610,10013,10111,1266,มากกว่า 6 
80.0,17000,3950,1720,1738,1902,709,มากกว่า 6 
44.0,12210,3590,2580,2564,3395,984,มากกว่า 6 
69.0,9814,4430,2490,2665,2846,508,6 ล้อ
40.0,20000,3980,2630,1678,2043,1896,มากกว่า 6 
70.0,8000,3660,2200,3598,4511,376,6 ล้อ
54.0,8000,2890,2060,3651,3848,480,6 ล้อ
49.0,9725,3530,2520,3433,3697,713,6 ล้อ
85.0,8997,2440,2440,1351,1501,379,6 ล้อ
116.0,4231,1420,1290,7269,7384,130,4 ล้อ
65.0,8495,3030,2490,1749,1964,464,มากกว่า 6 
67.0,10256,3870,2610,5328,5543,547,6 ล้อ
77.0,9622,3860,2580,11121,11573,444,6 ล้อ
62.0,9421,3870,2430,2305,3283,541,มากกว่า 6 
36.0,11267,3820,2570,1148,1681,1114,6 ล้อ
85.0,4674,1590,1610,1538,1734,197,4 ล้อ
81.0,4092,1840,1370,1041,1239,179,4 ล้อ
43.0,14374,3940,2570,853,1267,1184,มากกว่า 6 
74.0,8850,3870,2640,3985,4116,425,6 ล้อ
70.0,9843,3420,2500,2733,2979,500,6 ล้อ
88.0,5000,2880,1690,5740,5903,177,4 ล้อ
80.0,17046,4480,2490,4797,5028,762,มากกว่า 6 
96.0,3923,1430,1351,2918,3032,147,4 ล้อ
62.0,9705,3050,2580,5713,5894,561,มากกว่า 6 
76.0,14164,3270,2630,9339,10372,665,มากกว่า 6 
85.0,6639,2230,1860,4912,5092,279,6 ล้อ
67.0,19863,3940,2620,5912,6143,1063,มากกว่า 6 
68.0,20000,3970,2740,6988,7805,1046,มากกว่า 6 
105.0,5200,1790,1310,15816,15982,180,4 ล้อ
97.0,3995,1460,1390,7395,7527,147,4 ล้อ
79.0,8456,3000,2430,9443,9607,383,6 ล้อ
108.0,3944,1380,1680,5079,5210,130,4 ล้อ
70.0,9403,2660,2470,1666,1833,479,มากกว่า 6 
61.0,9001,3890,2610,11822,11971,524,6 ล้อ
7.0,8000,3080,2440,3900,13748,1464,6 ล้อ
70.0,9434,3740,2510,3314,4232,480,6 ล้อ
85.0,17397,4490,2510,2344,2526,728,มากกว่า 6 
81.0,17286,3520,2540,5063,5261,767,มากกว่า 6 
89.0,4469,1600,1360,2061,2227,180,4 ล้อ
111.0,4041,1390,1530,14920,15085,130,4 ล้อ
69.0,8000,2260,2160,2886,3052,346,6 ล้อ
92.0,4635,1710,1630,932,1113,180,4 ล้อ
69.0,10376,3850,2620,2081,2231,534,6 ล้อ
63.0,16919,4430,2510,4330,4561,957,มากกว่า 6 
108.0,4898,1770,1750,969,1149,163,4 ล้อ
56.0,9919,3890,2540,9223,10937,629,6 ล้อ
76.0,12500,4130,2550,3599,3747,608,มากกว่า 6 
88.0,10862,3790,2560,28426,28574,443,6 ล้อ
70.0,8000,3140,2430,2237,3162,377,6 ล้อ
64.0,9712,3750,2600,5164,5362,542,6 ล้อ
92.0,5040,2180,1560,2287,2452,196,4 ล้อ
39.0,10616,3930,2610,2850,3347,980,6 ล้อ
78.0,9618,3810,2430,3863,4045,442,6 ล้อ
82.0,8946,3930,2160,1531,1695,391,6 ล้อ
93.0,4266,1610,1620,3649,3797,163,4 ล้อ
69.0,9223,3360,2510,7391,7855,478,มากกว่า 6 
71.0,8000,3470,2330,7543,7674,345,6 ล้อ
49.0,9839,3890,2560,1628,1860,713,6 ล้อ
58.0,10226,3920,2680,992,1966,630,6 ล้อ
111.0,5110,1770,1670,2162,2344,165,4 ล้อ
82.0,8710,3510,2500,17252,17399,380,6 ล้อ
79.0,4712,2570,1470,2560,2776,214,4 ล้อ
63.0,9251,3780,2490,9524,10388,525,6 ล้อ
76.0,4888,1760,1770,1284,1449,230,4 ล้อ
66.0,9343,3790,2530,5006,5481,508,6 ล้อ
96.0,4855,1700,1530,602,766,181,4 ล้อ
69.0,15985,3580,2540,7647,7778,828,มากกว่า 6 
60.0,12486,3160,2600,534,1381,746,มากกว่า 6 
99.0,5200,1810,1740,2170,2334,197,4 ล้อ
87.0,5000,2920,1360,3849,3997,178,4 ล้อ
70.0,8968,3740,2550,5778,5892,458,6 ล้อ
38.0,11336,3860,2590,3151,3667,1063,มากกว่า 6 
